,RREG,RHHNUM,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_2DGT,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_RETURN,RQ14_INDWORK,RQ15_2DGT,RQ16_2DGT,RQ17_AVEMINC,RQ18_NOMONTH,RQ19_RET,RQ20M_DTRET,RQ20Y_DTRET,RQ21_REASON,RQ22M_DTEXP,RQ22Y_DTEXP,RQ23_CASHREM,RQ24_CASHAMT,RQ25_MODE,RQ26_REMITTANCE_SPENT,RQ261P_CONSUM,RQ262P_INVEST,RQ263P_SAVINGS,RQ264P_GIFT,RQ265P_OTHERS,RQ27_RET6MOS,RQ28_CASHHOME,RQ29_INKIND,RQ30_KINDAMT,RSWGT,RP6M_IND,RSVYYR,RPRRCD
0,1,1,81,8,1,65,1,3,2023,2,04,61,6, ,500,88,1,93,41,0168960,06,2,  ,    , ,88,8888,1,  180000,5,A    ,100,000,000,000,000,2,       ,1,00055000,463.1271, ,2023,2800
1,1,1,82,8,2,72,1,3,2023,2,04,92,6, ,500,88,2,  ,  ,       ,  ,2,  ,    , ,88,8888,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,463.1271, ,2023,2800
2,1,1,83,8,2,30,1,3,2023,1,10,22,6, ,500,88,1,22,86,0050000,06,2,  ,    , ,88,8888,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,463.1271, ,2023,2800
3,1,2,4,3,2,42,2,9,2023,3,04,91,1,1,233,48,1,91,96,0025000,59,2,  ,    , ,09,2027,1,   20000,5,A    ,100,000,000,000,000,1,0020000,1,00030000,456.8271,1,2023,2800
4,1,3,2,2,2,43,1,4,2023,2,10,92,1,1,211,24,1,91,96,0032000,05,2,  ,    , ,04,2025,1,   40000,5,A    ,100,000,000,000,000,2,       ,2,        ,456.8271,1,2023,2800
5,1,4,81,8,2,73,1,1,2023,3,04,92,6, ,500,88,2,  ,  ,       ,  ,2,  ,    , ,88,8888,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,463.1271, ,2023,2800
6,1,5,7,5,2,40,2,3,2023,2,03,92,1,1,222,88,1,91,96,0027000,42,2,  ,    , ,88,8888,1,   90000,5,A    ,100,000,000,000,000,2,       ,1,00030000,456.8271,1,2023,2800
7,1,6,3,6,1,25,2,7,2023,1,10,92,1,2,213,10,1,83,50,0060000,12,2,  ,    , ,05,2024,1,   45000,1,A    ,100,000,000,000,000,1,0010000,2,        ,435.666,1,2023,2800
8,1,7,6,5,2,35,1,8,2023,2,08,52,1,1,211,24,1,91,96,0031000,01,2,  ,    , ,08,2025,1,   30000,5,A    ,100,000,000,000,000,2,       ,2,        ,456.8271,1,2023,2800
9,1,8,4,3,2,25,1,5,2023,1,10,51,1,1,234,24,1,51,56,0036000,04,2,  ,    , ,05,2025,1,   32400,5,A    ,100,000,000,000,000,2,       ,2,        ,430.0548,1,2023,2800
10,1,9,4,3,2,31,1,11,2022,1,08,61,1,1,213,36,1,93,32,0028000,10,2,  ,    , ,11,2025,1,   50400,5,ACD  ,060,000,020,020,000,2,       ,2,        ,430.0548,1,2023,2800
11,1,10,3,2,1,39,3,11,2022,2,04,61,1,2,100,23,1,62,03,0028000,58,2,  ,    , ,10,2024,1,   60000,5,A    ,100,000,000,000,000,2,       ,2,        ,371.3281,1,2023,2800
12,1,11,81,3,2,28,1,7,2023,2,04,51,6, ,214,88,2,  ,  ,       ,  ,2,  ,    , ,88,8888,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,404.0372, ,2023,2800
13,1,11,82,6,2,3,1,7,2023, ,  ,09,6, ,214,88,2,  ,  ,       ,  ,2,  ,    , ,88,8888,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,404.0372, ,2023,2800
14,1,12,5,2,2,27,1,3,2023,2,04,92,1,1,234,24,1,51,96,0028000,06,2,  ,    , ,03,2025,1,   82000,5,A    ,100,000,000,000,000,2,       ,2,        ,430.0548,1,2023,2800
15,1,13,3,3,1,38,1,12,2022,4,10,52,1,1,234,24,1,52,47,0030000,09,2,  ,    , ,12,2024,1,   30000,1,A    ,100,000,000,000,000,2,       ,2,        ,427.7754,1,2023,2800
16,1,14,8,3,2,44,2,12,2022,4,10,91,1,1,211,24,1,91,96,0032000,51,2,  ,    , ,12,2024,1,   60000,5,A    ,100,000,000,000,000,2,       ,1,00030000,459.1249,1,2023,2800
17,1,15,5,4,2,45,1,3,2019,4,10,51,1,1,234,60,1,91,96,0028000,54,2,  ,    , ,03,2024,1,   30000,5,A    ,100,000,000,000,000,2,       ,2,        ,444.0422,1,2023,2800
18,1,16,6,5,1,33,3,10,2022,2,10,92,1,2,213,12,1,83,50,0060000,30,2,  ,    , ,10,2023,1,  180000,1,AC   ,075,000,025,000,000,2,       ,2,        ,437.8574,1,2023,2800
19,1,17,81,7,1,62,1,3,2023,2,09,83,6, ,500,88,1,52,47,0153600,06,2,  ,    , ,88,8888,1,   90000,5,A    ,100,000,000,000,000,2,       ,1,00050000,465.4567, ,2023,2800
20,1,17,82,7,2,63,1,3,2023,2,08,92,6, ,500,88,1,52,47,0153600,06,2,  ,    , ,88,8888,1,   60000,5,A    ,100,000,000,000,000,2,       ,2,        ,465.4567, ,2023,2800
21,1,18,4,3,2,35,1,2,2020,2,04,52,1,1,500,88,1,91,96,0030000,43,2,  ,    , ,88,8888,1,  120000,5,A    ,100,000,000,000,000,2,       ,2,        ,416.6134,1,2023,2800
22,1,18,5,5,1,38,1,2,2020,2,04,92,1,1,500,88,1,51,56,0030000,43,2,  ,    , ,88,8888,1,  120000,5,AC   ,050,000,050,000,000,2,       ,2,        ,388.1666,1,2023,2800
23,1,19,81,7,2,64,2,6,2022,3,04,92,6, ,500,24,1,51,56,0150000,60,2,  ,    , ,06,2024,1,  176000,5,A    ,100,000,000,000,000,2,       ,1,00019000,399.2025, ,2023,2800
24,1,20,6,3,2,37,2,1,2019,2,04,61,1,1,233,88,1,91,96,0028000,55,2,  ,    , ,88,8888,1,   60000,5,A    ,100,000,000,000,000,2,       ,2,        ,400.2441,1,2023,2800
25,1,21,4,3,2,26,2,7,2023,1,08,92,1,1,213,24,1,81,22,0035000,50,2,  ,    , ,07,2025,1,   30000,5,A    ,100,000,000,000,000,1,0030000,2,        ,434.6893,1,2023,2800
26,1,22,5,3,2,31,2,3,2023,1,10,52,1,1,235,48,1,53,96,0040000,46,2,  ,    , ,03,2027,1,   40000,5,A    ,100,000,000,000,000,2,       ,2,        ,434.6893,1,2023,2800
27,1,23,6,3,1,38,2,9,2023,2,04,92,1,1,213,36,1,93,23,0035000,36,2,  ,    , ,09,2026,1,   60000,5,A    ,100,000,000,000,000,1,0020000,2,        ,375.3297,1,2023,2800
28,1,24,3,2,2,30,1,12,2022,2,08,92,1,1,213,36,1,93,26,0030000,09,2,  ,    , ,12,2025,1,   36000,5,A    ,100,000,000,000,000,2,       ,2,        ,434.6893,1,2023,2800
29,1,25,81,2,1,40,1,9,2023,2,04,61,6, ,500,88,2,  ,  ,       ,  ,2,  ,    , ,88,8888,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,408.3913, ,2023,2800
30,1,26,6,2,2,49,2,7,2023,2,04,92,1,1,400,88,1,91,96,0050000,26,2,  ,    , ,88,8888,1,  100000,5,A    ,100,000,000,000,000,1,0030000,1,00035000,389.6023,1,2023,2800
31,1,27,5,8,2,40,2,9,2020,4,08,92,1,1,211,48,1,91,96,0030000,52,2,  ,    , ,09,2024,1,   90000,5,A    ,100,000,000,000,000,2,       ,2,        ,402.3058,1,2023,2800
32,1,28,6,5,2,52,1,5,2023,2,10,61,1,1,211,30,1,91,96,0025000,04,2,  ,    , ,11,2025,1,   25000,5,AC   ,050,000,050,000,000,2,       ,2,        ,442.0421,1,2023,2800
33,1,29,2,2,2,43,1,1,2022,2,03,52,1,1,211,24,1,91,96,0025000,20,2,  ,    , ,01,2024,1,   60000,5,ABC  ,030,020,050,000,000,2,       ,2,        ,394.8249,1,2023,2800
34,1,30,1,1,1,72,1,10,2022,2,08,83,4, ,500,1,2,  ,  ,       ,  ,1,11,2022,4,  ,    ,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,285.0979,2,2023,2800
35,1,30,2,2,2,70,1,10,2022,2,10,24,4, ,500,1,2,  ,  ,       ,  ,1,11,2022,4,  ,    ,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,308.6581,2,2023,2800
36,1,31,1,1,1,69,1,11,2018,2,10,54,4, ,212,1,2,  ,  ,       ,  ,1,12,2018,4,  ,    ,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,285.0979,2,2023,2800
37,1,31,2,2,2,71,1,11,2018,2,10,23,4, ,212,1,2,  ,  ,       ,  ,1,12,2018,4,  ,    ,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,308.6581,2,2023,2800
38,1,31,81,3,1,44,1,1,2023,2,10,41,6, ,500,88,1,41,82,0120000,08,2,  ,    , ,88,8888,1,   24000,1,A    ,100,000,000,000,000,2,       ,2,        ,412.278, ,2023,2800
39,1,32,81,4,2,42,1,5,2019,2,10,94,6, ,500,55,1,51,55,0100000,48,2,  ,    , ,12,2023,1,  120000,5,A    ,100,000,000,000,000,2,       ,1,00015000,412.278, ,2023,2800
40,1,33,6,7,2,67,1,12,2018,3,10,23,2,1,400,13,1,91,96,0150000,13,1,01,2020,4,  ,    ,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,308.6581,2,2023,2800
41,1,34,3,2,1,37,1,1,2023,2,04,42,1,1,214,60,1,93,15,0060000,08,2,  ,    , ,01,2028,1,  144000,1,A    ,100,000,000,000,000,2,       ,2,        ,378.9018,1,2023,2800
42,1,35,7,5,2,48,2,10,2020,2,04,91,1,1,211,24,1,91,96,0030000,48,1,07,2023,2,  ,    ,1,   90000,5,A    ,100,000,000,000,000,1,0055000,2,        ,393.3102,1,2023,2800
43,1,36,3,4,1,34,2,7,2023,1,10,22,1,1,222,24,1,22,86,0035000,38,2,  ,    , ,07,2025,1,   40000,1,A    ,100,000,000,000,000,2,       ,2,        ,364.1416,1,2023,2800
44,1,37,81,3,2,38,1,12,2019,1,10,43,6, ,300,88,1,43,69,0060000,45,2,  ,    , ,88,8888,1,   72000,1,AC   ,080,000,020,000,000,2,       ,2,        ,438.752, ,2023,2800
45,1,37,82,3,1,39,1,12,2019,2,10,21,6, ,300,88,1,41,82,0040000,45,2,  ,    , ,88,8888,1,   12000,1,A    ,100,000,000,000,000,2,       ,2,        ,438.752, ,2023,2800
46,1,37,83,5,2,38,1,12,2019,2,10,52,6, ,300,88,1,42,82,0040000,45,2,  ,    , ,88,8888,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,438.752, ,2023,2800
47,1,37,84,6,2,7,1,12,2019,1,01,09,6, ,300,88,2,  ,  ,       ,  ,2,  ,    , ,88,8888,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,438.752, ,2023,2800
48,1,38,1,1,1,68,1,7,2019,2,10,54,4, ,500,3,2,  ,  ,       ,  ,1,10,2019,4,  ,    ,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,303.4052,2,2023,2800
49,1,38,2,2,2,66,1,7,2019,2,10,52,4, ,500,3,2,  ,  ,       ,  ,1,10,2019,4,  ,    ,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,328.4783,2,2023,2800
50,1,39,9,5,2,34,1,2,2023,2,04,52,1,1,221,24,1,91,96,0030000,07,2,  ,    , ,02,2025,1,   60000,5,AC   ,080,000,020,000,000,2,       ,2,        ,467.0051,1,2023,2800
51,1,40,2,2,2,47,2,7,2023,2,08,91,1,1,500,24,1,91,96,0030000,57,2,  ,    , ,07,2025,1,   30000,5,A    ,100,000,000,000,000,2,       ,2,        ,418.5661,1,2023,2800
52,1,41,81,4,1,54,1,12,2020,2,04,83,6, ,500,88,1,51,81,0040000,33,2,  ,    , ,88,8888,1,   60000,1,ABC  ,050,020,030,000,000,2,       ,2,        ,438.752, ,2023,2800
53,1,41,82,8,2,53,1,12,2020,2,10,23,6, ,500,88,1,41,82,0060000,33,2,  ,    , ,88,8888,1,   30000,1,AC   ,080,000,020,000,000,2,       ,2,        ,438.752, ,2023,2800
54,1,42,81,3,2,38,3,9,2023,2,10,52,6, ,500,88,1,53,96,0224000,58,2,  ,    , ,88,8888,1,   90000,5,A    ,100,000,000,000,000,2,       ,2,        ,416.8144, ,2023,2800
55,1,43,5,5,1,38,2,10,2022,2,09,52,1,1,232,24,1,83,96,0030000,47,2,  ,    , ,10,2024,1,   90000,1,AC   ,075,000,025,000,000,2,       ,1,00040000,383.0709,1,2023,2800
56,1,44,81,7,2,81,1,9,2019,3,02,92,6, ,500,88,2,  ,  ,       ,  ,2,  ,    , ,88,8888,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,1,00050000,416.8144, ,2023,2800
57,1,45,5,2,1,49,2,5,2021,2,10,83,1,1,234,36,1,83,49,0030000,49,2,  ,    , ,05,2024,1,  100000,5,AC   ,080,000,020,000,000,1,0015000,1,00035000,445.0291,1,2023,2800
58,1,45,6,7,2,73,1,4,2023,3,04,61,4, ,300,12,2,  ,  ,       ,  ,2,  ,    , ,04,2024,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,312.0543,2,2023,2800
59,1,46,81,3,2,58,3,9,2023,2,10,23,6, ,500,88,1,23,85,0120000,51,2,  ,    , ,88,8888,1,   80000,1,AD   ,080,000,000,020,000,2,       ,1,00020000,427.251, ,2023,2800
60,1,46,82,3,2,51,3,9,2023,2,10,22,6, ,500,88,1,22,86,0200000,51,2,  ,    , ,88,8888,1,   85000,1,ACD  ,060,000,030,010,000,2,       ,1,00019000,427.251, ,2023,2800
61,1,47,5,2,2,53,2,1,2021,2,08,91,1,1,235,33,1,91,96,0028000,48,2,  ,    , ,10,2023,1,   67200,5,A    ,100,000,000,000,000,2,       ,2,        ,407.5943,1,2023,2800
62,1,48,3,2,2,30,1,4,2023,2,04,91,1,1,211,24,1,91,96,0030000,05,2,  ,    , ,04,2025,1,   90000,5,A    ,100,000,000,000,000,2,       ,2,        ,454.7635,1,2023,2800
63,1,49,3,3,2,40,2,4,2022,1,04,91,1,1,234,24,1,91,96,0035000,58,2,  ,    , ,04,2024,1,   84000,5,A    ,100,000,000,000,000,2,       ,1,00014000,421.439,1,2023,2800
64,1,50,81,3,1,32,1,8,2019,2,10,22,6, ,500,88,1,22,86,0120000,49,2,  ,    , ,88,8888,1,  120000,5,A    ,100,000,000,000,000,2,       ,1,00010000,427.251, ,2023,2800
65,1,51,3,3,2,28,1,8,2022,1,10,52,1,1,211,24,1,91,96,0030000,13,2,  ,    , ,08,2024,1,   90000,5,ABC  ,070,020,010,000,000,2,       ,2,        ,437.4062,1,2023,2800
