01000001810816501032023204616 50088193410168960062       8888881  1800005A    1000000000000002       1000550000004631271 202302800
01000001820827201032023204926 500882             2       8888882                             2       2        0004631271 202302800
01000001830823001032023110226 50088122860050000062       8888882                             2       2        0004631271 202302800
01000002040324202092023304911123348191960025000592       0920271   200005A    1000000000000001002000010003000000045682711202302800
01000003020224301042023210921121124191960032000052       0420251   400005A    1000000000000002       2        00045682711202302800
01000004810827301012023304926 500882             2       8888882                             2       2        0004631271 202302800
01000005070524002032023203921122288191960027000422       8888881   900005A    1000000000000002       10003000000045682711202302800
01000006030612502072023110921221310183500060000122       0520241   450001A    100000000000000100100002        00043566601202302800
01000007060523501082023208521121124191960031000012       0820251   300005A    1000000000000002       2        00045682711202302800
01000008040322501052023110511123424151560036000042       0520251   324005A    1000000000000002       2        00043005481202302800
01000009040323101112022108611121336193320028000102       1120251   504005ACD  0600000200200002       2        00043005481202302800
01000010030213903112022204611210023162030028000582       1020241   600005A    1000000000000002       2        00037132811202302800
01000011810322801072023204516 214882             2       8888882                             2       2        0004040372 202302800
01000011820620301072023   096 214882             2       8888882                             2       2        0004040372 202302800
01000012050222701032023204921123424151960028000062       0320251   820005A    1000000000000002       2        00043005481202302800
01000013030313801122022410521123424152470030000092       1220241   300001A    1000000000000002       2        00042777541202302800
01000014080324402122022410911121124191960032000512       1220241   600005A    1000000000000002       10003000000045912491202302800
01000015050424501032019410511123460191960028000542       0320241   300005A    1000000000000002       2        00044404221202302800
01000016060513303102022210921221312183500060000302       1020231  1800001AC   0750000250000002       2        00043785741202302800
01000017810716201032023209836 50088152470153600062       8888881   900005A    1000000000000002       1000500000004654567 202302800
01000017820726301032023208926 50088152470153600062       8888881   600005A    1000000000000002       2        0004654567 202302800
01000018040323501022020204521150088191960030000432       8888881  1200005A    1000000000000002       2        00041661341202302800
01000018050513801022020204921150088151560030000432       8888881  1200005AC   0500000500000002       2        00038816661202302800
01000019810726402062022304926 50024151560150000602       0620241  1760005A    1000000000000002       1000190000003992025 202302800
01000020060323702012019204611123388191960028000552       8888881   600005A    1000000000000002       2        00040024411202302800
01000021040322602072023108921121324181220035000502       0720251   300005A    100000000000000100300002        00043468931202302800
01000022050323102032023110521123548153960040000462       0320271   400005A    1000000000000002       2        00043468931202302800
01000023060313802092023204921121336193230035000362       0920261   600005A    100000000000000100200002        00037532971202302800
01000024030223001122022208921121336193260030000092       1220251   360005A    1000000000000002       2        00043468931202302800
01000025810214001092023204616 500882             2       8888882                             2       2        0004083913 202302800
01000026060224902072023204921140088191960050000262       8888881  1000005A    1000000000000001003000010003500000038960231202302800
01000027050824002092020408921121148191960030000522       0920241   900005A    1000000000000002       2        00040230581202302800
01000028060525201052023210611121130191960025000042       1120251   250005AC   0500000500000002       2        00044204211202302800
01000029020224301012022203521121124191960025000202       0120241   600005ABC  0300200500000002       2        00039482491202302800
01000030010117201102022208834 500012             11120224      2                             2       2        00028509792202302800
01000030020227001102022210244 500012             11120224      2                             2       2        00030865812202302800
01000031010116901112018210544 212012             11220184      2                             2       2        00028509792202302800
01000031020227101112018210234 212012             11220184      2                             2       2        00030865812202302800
01000031810314401012023210416 50088141820120000082       8888881   240001A    1000000000000002       2        0004122780 202302800
01000032810424201052019210946 50055151550100000482       1220231  1200005A    1000000000000002       1000150000004122780 202302800
010000330607267011220183102321400131919601500001310120204      2                             2       2        00030865812202302800
01000034030213701012023204421121460193150060000082       0120281  1440001A    1000000000000002       2        00037890181202302800
010000350705248021020202049111211241919600300004810720232      1   900005A    100000000000000100550002        00039331021202302800
01000036030413402072023110221122224122860035000382       0720251   400001A    1000000000000002       2        00036414161202302800
01000037810323801122019110436 30088143690060000452       8888881   720001AC   0800000200000002       2        0004387520 202302800
01000037820313901122019210216 30088141820040000452       8888881   120001A    1000000000000002       2        0004387520 202302800
01000037830523801122019210526 30088142820040000452       8888882                             2       2        0004387520 202302800
01000037840620701122019101096 300882             2       8888882                             2       2        0004387520 202302800
01000038010116801072019210544 500032             11020194      2                             2       2        00030340522202302800
01000038020226601072019210524 500032             11020194      2                             2       2        00032847832202302800
01000039090523401022023204521122124191960030000072       0220251   600005AC   0800000200000002       2        00046700511202302800
01000040020224702072023208911150024191960030000572       0720251   300005A    1000000000000002       2        00041856611202302800
01000041810415401122020204836 50088151810040000332       8888881   600001ABC  0500200300000002       2        0004387520 202302800
01000041820825301122020210236 50088141820060000332       8888881   300001AC   0800000200000002       2        0004387520 202302800
01000042810323803092023210526 50088153960224000582       8888881   900005A    1000000000000002       2        0004168144 202302800
01000043050513802102022209521123224183960030000472       1020241   900001AC   0750000250000002       10004000000038307091202302800
01000044810728101092019302926 500882             2       8888882                             2       1000500000004168144 202302800
01000045050214902052021210831123436183490030000492       0520241  1000005AC   0800000200000001001500010003500000044502911202302800
01000045060727301042023304614 300122             2       0420242                             2       2        00031205432202302800
01000046810325803092023210236 50088123850120000512       8888881   800001AD   0800000000200002       1000200000004272510 202302800
01000046820325103092023210226 50088122860200000512       8888881   850001ACD  0600000300100002       1000190000004272510 202302800
01000047050225302012021208911123533191960028000482       1020231   672005A    1000000000000002       2        00040759431202302800
01000048030223001042023204911121124191960030000052       0420251   900005A    1000000000000002       2        00045476351202302800
01000049030324002042022104911123424191960035000582       0420241   840005A    1000000000000002       10001400000042143901202302800
01000050810313201082019210226 50088122860120000492       8888881  1200005A    1000000000000002       1000100000004272510 202302800
01000051030322801082022110521121124191960030000132       0820241   900005ABC  0700200100000002       2        00043740621202302800
010000520101150010420192048311233361834900400003610420224      2                             2       2        00043876112202302800
01000052040322801092022108521121124191960030000122       0920241   900005ABC  0600300100000002       2        00043740621202302800
01000052050322701122019110421121488191550030000452       8888881   900005ABC  0500400100000002       2        00043740621202302800
01000053020224702072023204521121124191960030000532       0720251   300005A    1000000000000002       2        00039203731202302800
01000054060313802122022110231123436123850060000572       1220251   900005A    1000000000000002       2        00037767561202302800
01000055060513701052023210221150088153960144000042       8888881  1600001AC   0500000500000002       2        00040240431202302800
01000056030226401102019208921123588191960040000472       8888881   600005A    1000000000000002       2        00041245711202302800
01000057060522502092023210521121124191960032000482       0920251   400005A    1000000000000001002000010003500000046604581202302800
01000058050223501072022208091123524113960030000142       0720241  1200005AC   0500000500000002       2        00038554301202302800
01000059090323302092023110521121324193280040000482       0920252                             2       2        00041602911202302800
010000600403128041120221100912212091835000700003610920232      1  1200001A    100000000000000101200002        00036768401202302800
01000061050323901072022104931140036191960040000142       0720251  1200001A    1000000000000002       2        00038554301202302800
01000062040216004072023210141250010183500170000512       0520241  1500001AC   070000030000000100200002        00037780281202302800
