,region,household_unique_sequential_number,line_number,relationship,sex,age,times_left_year_ago,left_month,left_year,marital_status,highest_grade_completed,usual_occupation,reason_for_leaving,base,destination_country,expected_return,ever_worked,overseas_employment_type,overseas_industry,average_monthly_income,number_of_months_worked,has_returned_home,returned_home_month,returned_home_year,reason_for_returning,expected_return_home_month,expected_return_home_year,remittance_received,total_remittance,mode_of_remittance,remittance_spent,consumptions_percent,investments_percent,savings_percent,donation_percent,other_spending_percent,returned_apr_sep_2023,cash_brought_home,receive_goods,total_imputed_value,weight,past_six_month_indicator,survey_year,province_code,spent_consumptions,spent_investments,spent_savings,spent_donations,spent_other
0,Ilocos,1,81,Other relative,Male,65,1,Mar,2023,Married,Junior high graduate,"Skilled agricultural, forestry and fishery workers",Immigrant,Unknown / Not Reported,America,88,True,Elementary Occupations,Construction,168960,6,False,Still Abroad,0,Still Abroad,Indefinite,8888,With Remittance,180000.0,Money Transfer Services,A,100.0,0.0,0.0,0.0,0.0,False,0.0,True,55000.0,463.1271,0,2023,Ilocos Norte,True,False,False,False,False
1,Ilocos,1,82,Other relative,Female,72,1,Mar,2023,Married,Junior high graduate,Elementary Occupations,Immigrant,Not Applicable (Unemployed),America,88,False,Not Applicable (Unemployed),Not Applicable (Unemployed),0,0,False,Still Abroad,0,Still Abroad,Indefinite,8888,Without Remittance,0.0,No Remittance,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,463.1271,0,2023,Ilocos Norte,False,False,False,False,False
2,Ilocos,1,83,Other relative,Female,30,1,Mar,2023,Single,College graduate,Professionals,Immigrant,Unknown / Not Reported,America,88,True,Professionals,Human Health and Social Work Activities,50000,6,False,Still Abroad,0,Still Abroad,Indefinite,8888,Without Remittance,0.0,No Remittance,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,463.1271,0,2023,Ilocos Norte,False,False,False,False,False
3,Ilocos,2,4,Child,Female,42,2,Sep,2023,Widowed,Junior high graduate,Elementary Occupations,OFW with contract,Land,Saudi Arabia,48,True,Elementary Occupations,Other Service Activities,25000,59,False,Still Abroad,0,Still Abroad,Sep,2027,With Remittance,20000.0,Money Transfer Services,A,100.0,0.0,0.0,0.0,0.0,True,20000.0,True,30000.0,456.8271,1,2023,Ilocos Norte,True,False,False,False,False
4,Ilocos,3,2,Spouse,Female,43,1,Apr,2023,Married,College graduate,Elementary Occupations,OFW with contract,Land,Hongkong,24,True,Elementary Occupations,Other Service Activities,32000,5,False,Still Abroad,0,Still Abroad,Apr,2025,With Remittance,40000.0,Money Transfer Services,A,100.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,456.8271,1,2023,Ilocos Norte,True,False,False,False,False
5,Ilocos,4,81,Other relative,Female,73,1,Jan,2023,Widowed,Junior high graduate,Elementary Occupations,Immigrant,Not Applicable (Unemployed),America,88,False,Not Applicable (Unemployed),Not Applicable (Unemployed),0,0,False,Still Abroad,0,Still Abroad,Indefinite,8888,Without Remittance,0.0,No Remittance,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,463.1271,0,2023,Ilocos Norte,False,False,False,False,False
6,Ilocos,5,7,Spouse's child,Female,40,2,Mar,2023,Married,Junior high undergraduate,Elementary Occupations,OFW with contract,Land,Singapore,88,True,Elementary Occupations,Other Service Activities,27000,42,False,Still Abroad,0,Still Abroad,Indefinite,8888,With Remittance,90000.0,Money Transfer Services,A,100.0,0.0,0.0,0.0,0.0,False,0.0,True,30000.0,456.8271,1,2023,Ilocos Norte,True,False,False,False,False
7,Ilocos,6,3,Grandchild,Male,25,2,Jul,2023,Single,College graduate,Elementary Occupations,OFW with contract,Sea,Taiwan,10,True,Plant and machine operators and assemblers,Transportation and Storage,60000,12,False,Still Abroad,0,Still Abroad,May,2024,With Remittance,45000.0,Bank,A,100.0,0.0,0.0,0.0,0.0,True,10000.0,False,0.0,435.666,1,2023,Ilocos Norte,True,False,False,False,False
8,Ilocos,7,6,Spouse's child,Female,35,1,Aug,2023,Married,Post secondary graduate,Service and sales workers,OFW with contract,Land,Hongkong,24,True,Elementary Occupations,Other Service Activities,31000,1,False,Still Abroad,0,Still Abroad,Aug,2025,With Remittance,30000.0,Money Transfer Services,A,100.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,456.8271,1,2023,Ilocos Norte,True,False,False,False,False
9,Ilocos,8,4,Child,Female,25,1,May,2023,Single,College graduate,Service and sales workers,OFW with contract,Land,United Arab Emirates,24,True,Service and sales workers,Accommodation and Food Service Activities,36000,4,False,Still Abroad,0,Still Abroad,May,2025,With Remittance,32400.0,Money Transfer Services,A,100.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,430.0548,1,2023,Ilocos Norte,True,False,False,False,False
10,Ilocos,9,4,Child,Female,31,1,Nov,2022,Single,Post secondary graduate,"Skilled agricultural, forestry and fishery workers",OFW with contract,Land,Taiwan,36,True,Elementary Occupations,Manufacturing,28000,10,False,Still Abroad,0,Still Abroad,Nov,2025,With Remittance,50400.0,Money Transfer Services,ACD,60.0,0.0,20.0,20.0,0.0,False,0.0,False,0.0,430.0548,1,2023,Ilocos Norte,True,False,True,True,False
11,Ilocos,10,3,Spouse,Male,39,3,Nov,2022,Married,Junior high graduate,"Skilled agricultural, forestry and fishery workers",OFW with contract,Sea,Africa,23,True,"Skilled agricultural, forestry and fishery workers",Fishing and Aquaculture,28000,58,False,Still Abroad,0,Still Abroad,Oct,2024,With Remittance,60000.0,Money Transfer Services,A,100.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,371.3281,1,2023,Ilocos Norte,True,False,False,False,False
12,Ilocos,11,81,Child,Female,28,1,Jul,2023,Married,Junior high graduate,Service and sales workers,Immigrant,Not Applicable (Unemployed),East Asia,88,False,Not Applicable (Unemployed),Not Applicable (Unemployed),0,0,False,Still Abroad,0,Still Abroad,Indefinite,8888,Without Remittance,0.0,No Remittance,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,404.0372,0,2023,Ilocos Norte,False,False,False,False,False
13,Ilocos,11,82,Grandchild,Female,3,1,Jul,2023,Unknown,College graduate,Non-gainful occupations,Immigrant,Not Applicable (Unemployed),East Asia,88,False,Not Applicable (Unemployed),Not Applicable (Unemployed),0,0,False,Still Abroad,0,Still Abroad,Indefinite,8888,Without Remittance,0.0,No Remittance,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,404.0372,0,2023,Ilocos Norte,False,False,False,False,False
14,Ilocos,12,5,Spouse,Female,27,1,Mar,2023,Married,Junior high graduate,Elementary Occupations,OFW with contract,Land,United Arab Emirates,24,True,Service and sales workers,Other Service Activities,28000,6,False,Still Abroad,0,Still Abroad,Mar,2025,With Remittance,82000.0,Money Transfer Services,A,100.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,430.0548,1,2023,Ilocos Norte,True,False,False,False,False
15,Ilocos,13,3,Child,Male,38,1,Dec,2022,Separated,College graduate,Service and sales workers,OFW with contract,Land,United Arab Emirates,24,True,Service and sales workers,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,30000,9,False,Still Abroad,0,Still Abroad,Dec,2024,With Remittance,30000.0,Bank,A,100.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,427.7754,1,2023,Ilocos Norte,True,False,False,False,False
16,Ilocos,14,8,Child,Female,44,2,Dec,2022,Separated,College graduate,Elementary Occupations,OFW with contract,Land,Hongkong,24,True,Elementary Occupations,Other Service Activities,32000,51,False,Still Abroad,0,Still Abroad,Dec,2024,With Remittance,60000.0,Money Transfer Services,A,100.0,0.0,0.0,0.0,0.0,False,0.0,True,30000.0,459.1249,1,2023,Ilocos Norte,True,False,False,False,False
17,Ilocos,15,5,Sibling,Female,45,1,Mar,2019,Separated,College graduate,Service and sales workers,OFW with contract,Land,United Arab Emirates,60,True,Elementary Occupations,Other Service Activities,28000,54,False,Still Abroad,0,Still Abroad,Mar,2024,With Remittance,30000.0,Money Transfer Services,A,100.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,444.0422,1,2023,Ilocos Norte,True,False,False,False,False
18,Ilocos,16,6,Spouse's child,Male,33,3,Oct,2022,Married,College graduate,Elementary Occupations,OFW with contract,Sea,Taiwan,12,True,Plant and machine operators and assemblers,Transportation and Storage,60000,30,False,Still Abroad,0,Still Abroad,Oct,2023,With Remittance,180000.0,Bank,AC,75.0,0.0,25.0,0.0,0.0,False,0.0,False,0.0,437.8574,1,2023,Ilocos Norte,True,False,True,False,False
19,Ilocos,17,81,Parent,Male,62,1,Mar,2023,Married,College undergraduate,Plant and machine operators and assemblers,Immigrant,Unknown / Not Reported,America,88,True,Service and sales workers,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,153600,6,False,Still Abroad,0,Still Abroad,Indefinite,8888,With Remittance,90000.0,Money Transfer Services,A,100.0,0.0,0.0,0.0,0.0,False,0.0,True,50000.0,465.4567,0,2023,Ilocos Norte,True,False,False,False,False
